TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1717846506 0 0 0
1717846516 0 0 0
1717846527 0 0 0
1717846537 0 0 0
1717846547 0 0 0
1717846558 0 0 0
1717846568 0 0 0
1717846578 0 0 0
1717846589 0 0 0
1717846599 0 0 0
1717846609 0 0 0
1717846620 0 0 0
1717846630 0 0 0
1717846640 0 0 0
1717846650 0 0 0
1717846661 0 0 0
1717846671 0 0 0
1717846681 0 0 0
1717846692 0 0 0
1717846702 0 0 0
1717846712 0 0 0
1717846723 0 0 0
1717846734 0 0 0
1717846744 0 0 0
1717846754 0 0 0
1717846765 0 0 0
1717846775 0 0 0
1717846785 0 0 0
1717846796 0 0 0
1717846806 0 0 0
1717846816 0 0 0
1717846827 0 0 0
1717846837 0 0 0
1717846847 0 0 0
1717846857 0 0 0
1717846868 0 0 0
1717846878 0 0 0
1717846888 0 0 0
1717846899 0 0 0
1717846909 0 0 0
1717846919 0 0 0
1717846929 0 0 0
1717846940 0 0 0
1717846950 0 0 0
1717846960 0 0 0
1717846971 0 0 0
1717846981 0 0 0
1717846991 0 0 0
1717847001 0 0 0
1717847012 0 0 0
1717847022 0 0 0
1717847032 0 0 0
1717847043 0 0 0
1717847053 0 0 0
1717847063 0 0 0
1717847073 0 0 0
1717847084 0 0 0
1717847094 0 0 0
1717847104 0 0 0
1717847114 0 0 0
1717847125 0 0 0
1717847135 0 0 0
1717847145 0 0 0
1717847156 0 0 0
1717847166 0 0 0
1717847176 0 0 0
1717847187 0 0 0
1717847197 0 0 0
1717847208 0 0 0
1717847218 0 0 0
1717847228 0 0 0
1717847238 0 0 0
1717847249 0 0 0
1717847259 0 0 0
1717847269 0 0 0
1717847280 0 0 0
1717847290 0 0 0
1717847300 0 0 0
1717847310 0 0 0
1717847321 0 0 0
1717847331 0 0 0
1717847341 0 0 0
1717847352 0 0 0
1717847362 0 0 0
1717847372 0 0 0
1717847382 0 0 0
1717847393 0 0 0
1717847403 0 0 0
1717847413 0 0 0
1717847424 0 0 0
1717847434 0 0 0
1717847444 0 0 0
1717847454 0 0 0
1717847465 0 0 0
1717847475 0 0 0
1717847485 0 0 0
1717847496 0 0 0
1717847506 0 0 0
1717847516 0 0 0
1717847526 0 0 0
1717847537 0 0 0
1717847547 0 0 0
1717847557 0 0 0
1717847567 0 0 0
1717847578 0 0 0
1717847588 0 0 0
1717847598 0 0 0
1717847609 0 0 0
1717847619 0 0 0
1717847629 0 0 0
1717847639 0 0 0
1717847650 0 0 0
1717847660 0 0 0
1717847670 0 0 0
1717847681 0 0 0
1717847691 0 0 0
1717847701 0 0 0
1717847711 0 0 0
1717847722 0 0 0
1717847732 0 0 0
1717847742 0 0 0
1717847752 0 0 0
1717847763 0 0 0
1717847773 0 0 0
1717847783 0 0 0
1717847793 0 0 0
1717847804 0 0 0
1717847814 0 0 0
1717847824 0 0 0
1717847835 0 0 0
1717847845 0 0 0
1717847855 0 0 0
1717847865 0 0 0
1717847876 0 0 0
1717847886 0 0 0
1717847896 0 0 0
1717847906 0 0 0
1717847917 0 0 0
1717847927 0 0 0
1717847937 0 0 0
1717847947 0 0 0
1717847958 0 0 0
1717847968 0 0 0
1717847978 0 0 0
1717847988 0 0 0
1717847999 0 0 0
1717848009 0 0 0
1717848019 0 0 0
1717848030 0 0 0
1717848040 0 0 0
1717848050 0 0 0
1717848060 0 0 0
1717848071 0 0 0
1717848081 0 0 0
1717848091 0 0 0
1717848102 0 0 0
1717848112 0 0 0
1717848122 0 0 0
1717848132 0 0 0
1717848143 0 0 0
1717848153 0 0 0
1717848163 0 0 0
1717848174 0 0 0
1717848184 0 0 0
1717848194 0 0 0
1717848204 0 0 0
1717848215 0 0 0
1717848225 0 0 0
1717848235 0 0 0
1717848245 0 0 0
1717848256 0 0 0
1717848266 0 0 0
1717848276 0 0 0
1717848287 0 0 0
1717848297 0 0 0
1717848307 0 0 0
1717848317 0 0 0
1717848328 0 0 0
1717848338 0 0 0
1717848348 0 0 0
1717848358 0 0 0
1717848369 0 0 0
1717848379 0 0 0
1717848389 0 0 0
1717848400 0 0 0
1717848410 0 0 0
1717848420 0 0 0
1717848430 0 0 0
1717848441 0 0 0
1717848451 0 0 0
1717848461 0 0 0
1717848472 0 0 0
1717848482 0 0 0
1717848492 0 0 0
1717848502 0 0 0
1717848513 0 0 0
1717848523 0 0 0
1717848533 0 0 0
1717848543 0 0 0
1717848554 0 0 0
1717848564 0 0 0
1717848574 0 0 0
1717848584 0 0 0
1717848595 0 0 0
1717848605 0 0 0
1717848615 0 0 0
1717848625 0 0 0
1717848636 0 0 0
1717848646 0 0 0
1717848656 0 0 0
1717848667 0 0 0
1717848677 0 0 0
1717848687 0 0 0
1717848697 0 0 0
1717848708 0 0 0
1717848718 0 0 0
1717848728 0 0 0
1717848738 0 0 0
1717848749 0 0 0
1717848759 0 0 0
1717848769 0 0 0
1717848780 0 0 0
1717848790 0 0 0
1717848800 0 0 0
1717848810 0 0 0
1717848821 0 0 0
1717848831 0 0 0
1717848841 0 0 0
1717848852 0 0 0
1717848862 0 0 0
1717848872 0 0 0
1717848882 0 0 0
1717848893 0 0 0
1717848903 0 0 0
1717848913 0 0 0
1717848923 0 0 0
1717848934 0 0 0
1717848944 0 0 0
1717848954 0 0 0
1717848965 0 0 0
1717848975 0 0 0
1717848985 0 0 0
1717848995 0 0 0
1717849006 0 0 0
1717849016 0 0 0
1717849026 0 0 0
1717849037 0 0 0
1717849047 0 0 0
1717849057 0 0 0
1717849068 0 0 0
1717849078 0 0 0
1717849088 0 0 0
1717849099 0 0 0
1717849109 0 0 0
1717849119 0 0 0
1717849129 0 0 0
1717849140 0 0 0
1717849150 0 0 0
1717849160 0 0 0
1717849170 0 0 0
1717849181 0 0 0
1717849191 0 0 0
1717849201 0 0 0
1717849212 0 0 0
1717849222 0 0 0
1717849232 0 0 0
1717849242 0 0 0
1717849253 0 0 0
1717849263 0 0 0
1717849273 0 0 0
1717849283 0 0 0
1717849294 0 0 0
1717849304 0 0 0
1717849314 0 0 0
1717849324 0 0 0
1717849335 0 0 0
1717849345 0 0 0
1717849355 0 0 0
1717849366 0 0 0
1717849376 0 0 0
1717849386 0 0 0
1717849396 0 0 0
1717849407 0 0 0
1717849417 0 0 0
1717849427 0 0 0
1717849437 0 0 0
1717849448 0 0 0
1717849458 0 0 0
1717849468 0 0 0
1717849478 0 0 0
1717849489 0 0 0
1717849499 0 0 0
1717849509 0 0 0
1717849520 0 0 0
1717849530 0 0 0
1717849540 0 0 0
1717849550 0 0 0
1717849561 0 0 0
1717849571 0 0 0
1717849581 0 0 0
1717849591 0 0 0
1717849602 0 0 0
1717849612 0 0 0
1717849622 0 0 0
1717849632 0 0 0
1717849643 0 0 0
1717849653 0 0 0
1717849663 0 0 0
1717849673 0 0 0
1717849684 0 0 0
1717849694 0 0 0
1717849704 0 0 0
1717849714 0 0 0
1717849724 0 0 0
1717849735 0 0 0
1717849745 0 0 0
1717849755 0 0 0
1717849765 0 0 0
1717849776 0 0 0
1717849786 0 0 0
1717849796 0 0 0
1717849806 0 0 0
1717849817 0 0 0
1717849827 0 0 0
1717849837 0 0 0
1717849847 0 0 0
1717849858 0 0 0
1717849868 0 0 0
1717849878 0 0 0
1717849889 0 0 0
1717849899 0 0 0
1717849910 0 0 0
1717849920 0 0 0
1717849930 0 0 0
1717849940 0 0 0
1717849950 0 0 0
1717849961 0 0 0
1717849971 0 0 0
1717849981 0 0 0
1717849991 0 0 0
1717850001 0 0 0
1717850012 0 0 0
1717850022 0 0 0
1717850032 0 0 0
1717850042 0 0 0
1717850052 0 0 0
1717850063 0 0 0
1717850073 0 0 0
1717850083 0 0 0
1717850093 0 0 0
1717850103 0 0 0
1717850113 0 0 0
1717850124 0 0 0
1717850134 0 0 0
1717850144 0 0 0
1717850154 0 0 0
1717850164 0 0 0
1717850175 0 0 0
1717850185 0 0 0
1717850195 0 0 0
1717850205 0 0 0
1717850215 0 0 0
1717850225 0 0 0
1717850236 0 0 0
1717850246 0 0 0
1717850256 0 0 0
1717850266 0 0 0
1717850276 0 0 0
1717850287 0 0 0
1717850297 0 0 0
1717850307 0 0 0
1717850317 0 0 0
1717850327 0 0 0
1717850337 0 0 0
1717850348 0 0 0
1717850358 0 0 0
1717850368 0 0 0
1717850378 0 0 0
1717850388 0 0 0
1717850399 0 0 0
1717850409 0 0 0
1717850419 0 0 0
1717850429 0 0 0
1717850439 0 0 0
1717850449 0 0 0
1717850460 0 0 0
1717850470 0 0 0
1717850480 0 0 0
1717850490 0 0 0
1717850500 0 0 0
1717850511 0 0 0
1717850521 0 0 0
1717850531 0 0 0
1717850541 0 0 0
1717850551 0 0 0
1717850562 0 0 0
1717850572 0 0 0
1717850582 0 0 0
1717850592 0 0 0
1717850602 0 0 0
1717850612 0 0 0
1717850623 0 0 0
1717850633 0 0 0
1717850643 0 0 0
1717850653 0 0 0
1717850663 0 0 0
1717850674 0 0 0
1717850684 0 0 0
1717850694 0 0 0
1717850704 0 0 0
1717850714 0 0 0
1717850724 0 0 0
1717850735 0 0 0
1717850745 0 0 0
1717850755 0 0 0
1717850765 0 0 0
1717850775 0 0 0
1717850785 0 0 0
1717850796 0 0 0
1717850806 0 0 0
1717850816 0 0 0
1717850826 0 0 0
1717850836 0 0 0
1717850846 0 0 0
1717850857 0 0 0
1717850867 0 0 0
1717850877 0 0 0
1717850887 0 0 0
1717850897 0 0 0
1717850907 0 0 0
1717850918 0 0 0
1717850928 0 0 0
1717850938 0 0 0
1717850948 0 0 0
1717850958 0 0 0
1717850968 0 0 0
1717850979 0 0 0
1717850989 0 0 0
1717850999 0 0 0
1717851009 0 0 0
1717851019 0 0 0
1717851029 0 0 0
1717851039 0 0 0
1717851050 0 0 0
1717851060 0 0 0
1717851070 0 0 0
1717851080 0 0 0
1717851090 0 0 0
1717851100 0 0 0
1717851111 0 0 0
1717851121 0 0 0
1717851131 0 0 0
1717851141 0 0 0
1717851151 0 0 0
1717851161 0 0 0
1717851172 0 0 0
1717851182 0 0 0
1717851192 0 0 0
1717851202 0 0 0
1717851212 0 0 0
1717851222 0 0 0
1717851233 0 0 0
1717851243 0 0 0
1717851253 0 0 0
1717851263 0 0 0
1717851273 0 0 0
1717851283 0 0 0
1717851294 0 0 0
1717851304 0 0 0
1717851314 0 0 0
1717851324 0 0 0
1717851334 0 0 0
1717851344 0 0 0
1717851354 0 0 0
1717851365 0 0 0
1717851375 0 0 0
1717851385 0 0 0
1717851395 0 0 0
1717851405 0 0 0
1717851415 0 0 0
1717851426 0 0 0
1717851436 0 0 0
1717851446 0 0 0
1717851456 0 0 0
1717851467 0 0 0
1717851477 0 0 0
1717851487 0 0 0
1717851497 0 0 0
1717851507 0 0 0
1717851517 0 0 0
1717851528 0 0 0
1717851538 0 0 0
1717851548 0 0 0
1717851558 0 0 0
1717851568 0 0 0
